meta_model,mode,threshold_oof,oof_accuracy_percent,oof_sensitivity_percent,oof_specificity_percent,oof_f1_percent,oof_auc_percent,oof_fn,test_accuracy_percent,test_sensitivity_percent,test_specificity_percent,test_precision_percent,test_f1_percent,test_auc_percent,test_tp,test_tn,test_fp,test_fn,test_sensitivity_ci95,test_specificity_ci95,test_auc_ci95
xgboost,nested,0.37983638048171997,84.65045592705167,88.2183908045977,80.64516129032258,85.87412587412587,91.61846496106784,41,84.75894245723173,89.19753086419753,80.25078369905955,82.10227272727273,85.50295857988166,92.91284492433917,289,256,63,35,"[85.35, 92.13]","[75.53, 84.25]","[90.94, 94.76]"
logistic_regression,nested,0.38992797472513874,84.04255319148936,87.35632183908046,80.3225806451613,85.273492286115,91.27549128661475,44,83.8258164852255,89.81481481481481,77.74294670846395,80.38674033149171,84.8396501457726,92.73675451836371,291,248,71,33,"[86.04, 92.66]","[72.86, 81.96]","[90.66, 94.65]"
extra_trees,nested,0.40800000000000003,83.73860182370821,86.20689655172413,80.96774193548387,84.86562942008487,92.00129773822766,48,84.9144634525661,88.58024691358025,81.19122257053291,82.70893371757924,85.54396423248882,92.93219551840242,287,259,60,37,"[84.66, 91.60]","[76.54, 85.10]","[90.91, 94.94]"
