threshold,accuracy,precision,recall,sensibilidad,especificidad,f1_score,auc_roc,vpp,vpn,youden_index,tp,tn,fp,fn,n_samples,n_positivos,n_negativos,model_name,macro_f1,weighted_f1
0.5,0.7978227060653188,0.8730769230769231,0.7006172839506173,0.7006172839506173,0.896551724137931,0.7773972602739726,0.8876504508688416,0.8730769230769231,0.7467362924281984,0.5971690080885483,227,286,33,97,643,324,319,efficientnet_b0,0.7961060375443937,0.7959605571612645
0.5,0.7309486780715396,0.7150997150997151,0.7746913580246914,0.7746913580246914,0.6865203761755486,0.7437037037037038,0.8363520260071984,0.7150997150997151,0.75,0.46121173420024,251,219,100,73,643,324,319,efficientnet_b3,0.7302806570891678,0.7303850353676633
0.5,0.8211508553654744,0.8215384615384616,0.8240740740740741,0.8240740740740741,0.8181818181818182,0.8228043143297381,0.9022117729014281,0.8215384615384616,0.8207547169811321,0.6422558922558923,267,261,58,57,643,324,319,densenet121,0.8211352811837074,0.8211482596685131
0.5,0.7869362363919129,0.8257839721254355,0.7314814814814815,0.7314814814814815,0.8432601880877743,0.7757774140752864,0.8506521150199311,0.8257839721254355,0.7556179775280899,0.5747416695692558,237,269,50,87,643,324,319,inception_v3,0.7864072255561617,0.7863245676130757
0.5,0.8491446345256609,0.8927335640138409,0.7962962962962963,0.7962962962962963,0.9028213166144201,0.8417618270799347,0.9106002554278416,0.8927335640138409,0.8135593220338984,0.6991176129107164,258,288,31,66,643,324,319,resnet50_cbam,0.8488155346395216,0.8487606846584983
0.5,0.6251944012441679,0.6055979643765903,0.7345679012345679,0.7345679012345679,0.5141065830721003,0.6638772663877266,0.6858044041952087,0.6055979643765903,0.656,0.2486744843066684,238,164,155,86,643,324,319,unet_encoder,0.6201635892571322,0.6205035089859859
0.5,0.6811819595645412,0.660377358490566,0.7561728395061729,0.7561728395061729,0.6050156739811913,0.7050359712230215,0.7788420604512558,0.660377358490566,0.7095588235294118,0.361188513487364,245,193,126,79,643,324,319,mobilenetv3_exudate_map,0.6790831294355378,0.6792849400248651
