,precision,recall,f1-score,support
healthy,0.8173913043478261,0.8840125391849529,0.8493975903614458,319.0
exudates,0.8758389261744967,0.8055555555555556,0.8392282958199357,324.0
accuracy,0.8444790046656299,0.8444790046656299,0.8444790046656299,0.8444790046656299
macro avg,0.8466151152611614,0.8447840473702543,0.8443129430906908,643.0
weighted avg,0.8468423610691966,0.8444790046656299,0.8442734046204671,643.0
