dataset,configuration,threshold,accuracy_percent,sensitivity_percent,specificity_percent,precision_percent,f1_percent,tp,tn,fp,fn
Validación OOF,Umbral estándar,0.5,84.34650455927051,82.75862068965517,86.12903225806451,87.00906344410876,84.83063328424153,288,267,43,60
Validación OOF,Umbral optimizado,0.3798363804817199,84.65045592705167,88.2183908045977,80.64516129032258,83.65122615803816,85.87412587412587,307,250,60,41
Prueba,Umbral estándar,0.5,85.38102643856921,85.49382716049382,85.26645768025078,85.49382716049382,85.49382716049382,277,272,47,47
Prueba,Umbral optimizado,0.3798363804817199,84.75894245723173,89.19753086419753,80.25078369905955,82.10227272727273,85.50295857988166,289,256,63,35
